TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,15,12,58,W 64TH AVE / OAK ST,Marpole,490524.0,5451140.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,9,18,57,W 67TH AVE / OAK ST,Marpole,490517.0,5450891.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,28,7,45,W 6TH AVE / GRANVILLE ST,Fairview,489926.0,5457055.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,8,10,5,W 70TH AVE / CARTIER PL,Marpole,490013.0,5450652.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,6,2,15,5,W 70TH AVE / HUDSON ST,Marpole,490211.0,5450646.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,13,20,25,W 7TH AVE / MANITOBA ST,Mount Pleasant,492230.0,5456887.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,12,20,33,W 7TH AVE / MANITOBA ST,Mount Pleasant,492230.0,5456887.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,19,15,55,W 7TH AVE / YUKON ST,Mount Pleasant,491789.0,5456900.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,15,11,35,W BROADWAY AVE / ALDER ST,Fairview,490442.0,5456755.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,7,16,52,W BROADWAY AVE / ASH ST,Fairview,491449.0,5456727.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,5,10,10,W BROADWAY AVE / BAYSWATER ST,Kitsilano,487541.0,5456832.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,4,12,56,W BROADWAY AVE / CAMBIE ST,Fairview,491638.0,5456722.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,8,10,1,W BROADWAY AVE / MANITOBA ST,Mount Pleasant,492227.0,5456703.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,19,18,28,W BROADWAY AVE / PINE ST,Fairview,489565.0,5456776.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,27,12,43,W CORDOVA ST / BURRARD ST,Central Business District,491550.0,5459441.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,16,14,53,W CORDOVA ST / GRANVILLE ST,Central Business District,491792.0,5459252.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,4,11,31,W GEORGIA ST / BEATTY ST,Central Business District,491835.0,5458445.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,6,1,9,45,W GEORGIA ST / BEATTY ST,Central Business District,491835.0,5458445.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,4,4,38,W GEORGIA ST / SEYMOUR ST,Central Business District,491480.0,5458792.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,1,17,42,W HASTINGS ST / ABBOTT ST,Central Business District,492203.0,5458810.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,17,22,30,W HASTINGS ST / BURRARD ST,Central Business District,491494.0,5459386.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,23,6,5,W HASTINGS ST / SEYMOUR ST,Central Business District,491792.0,5459107.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,25,16,56,W KENT AVE N / CAMBIE ST,Marpole,491456.0,5450370.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,14,15,41,W KENT AVE N / HEATHER ST,Marpole,491077.0,5450258.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,11,20,56,W KING EDWARD AVE / ARBUTUS ST,Arbutus Ridge,488858.0,5455443.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,16,15,20,W KING EDWARD AVE / ARBUTUS ST,Arbutus Ridge,488858.0,5455443.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,24,18,20,W KING EDWARD AVE / ARBUTUS ST,Arbutus Ridge,488862.0,5455420.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,24,7,18,W KING EDWARD AVE / OAK ST,Shaughnessy,490719.0,5455182.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,17,6,24,W KING EDWARD AVE / PUGET DR,Dunbar-Southlands,487637.0,5455182.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,18,21,19,W PENDER ST / BUTE ST,Central Business District,491027.0,5459520.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,23,18,0,W PENDER ST / RICHARDS ST,Central Business District,491791.0,5458968.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,27,14,30,WEST BLVD / W 42ND AVE,Kerrisdale,488674.0,5453434.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,18,13,30,WEST BLVD / W 45TH AVE,Kerrisdale,488663.0,5453132.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,5,9,59,WILLOW ST / W BROADWAY AVE,Fairview,491136.0,5456735.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,5,19,11,WINDERMERE ST / E HASTINGS ST,Hastings-Sunrise,497368.0,5458712.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,5,7,46,WINDSOR ST / E 50TH AVE,Sunset,493789.0,5452411.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,23,18,2,X BLOCK E 8TH AVE,Mount Pleasant,492395.0,5456783.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,9,17,50,X BLOCK SMITHE ST,Central Business District,491778.0,5458020.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,6,12,58,X BLOCK W HASTINGS ST,Central Business District,492397.0,5458756.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,7,14,59,YEW ST / CORNWALL AVE,Kitsilano,488726.0,5457770.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,9,9,35,YORK AVE / ARBUTUS ST,Kitsilano,488896.0,5457665.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,20,6,21,MAIN ST / E 33RD AVE,Riley Park,492614.0,5454196.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,13,17,20,MAIN ST / E 33RD AVE,Riley Park,492614.0,5454196.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,17,15,33,MAIN ST / E 4TH AVE,Mount Pleasant,492669.0,5457177.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,19,12,8,MAIN ST / E 57TH AVE,Sunset,492580.0,5451747.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,6,1,23,7,MAIN ST / E 57TH AVE,Sunset,492580.0,5451747.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,5,8,55,MAIN ST / E 6TH AVE,Mount Pleasant,492668.0,5456976.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,11,14,59,MAIN ST / E CORDOVA ST,Central Business District,492754.0,5458842.0
Break and Enter Commercial,2026,2,4,13,14,10XX PACIFIC ST,West End,490351.6917,5458276.3433
Break and Enter Commercial,2026,3,11,6,0,10XX RICHARDS ST,Central Business District,491078.1127,5458256.7512
Break and Enter Commercial,2026,1,6,4,12,10XX ROBSON ST,West End,491004.9767,5459024.4782
Break and Enter Commercial,2026,3,22,4,25,10XX SW MARINE DR,Marpole,490426.4215,5450190.3986
Break and Enter Commercial,2026,4,12,12,0,10XX W 47TH AVE,Oakridge,490516.8267,5452857.1864
Break and Enter Commercial,2026,5,23,11,19,10XX W BROADWAY AVE,Fairview,490637.1701,5456734.6865
Break and Enter Commercial,2026,3,16,12,0,10XX W GEORGIA ST,West End,491057.9911,5459207.5202
Break and Enter Commercial,2026,3,8,6,39,10XX W HASTINGS ST,Central Business District,491359.0894,5459440.1619
Break and Enter Commercial,2026,3,10,0,0,11XX ALBERNI ST,West End,491001.9697,5459192.9578
Break and Enter Commercial,2026,5,13,6,38,11XX BEACH AVE,West End,490085.9345,5458429.7442
Break and Enter Commercial,2026,5,8,6,0,11XX DAVIE ST,West End,490332.5765,5458753.8252
Break and Enter Commercial,2026,2,7,17,47,11XX E 7TH AVE,Mount Pleasant,494099.824,5456851.8578
Break and Enter Commercial,2026,4,24,16,30,11XX E HASTINGS ST,Strathcona,494163.5171,5458710.5514
Break and Enter Commercial,2026,4,6,3,28,11XX GRANT ST,Strathcona,494274.1694,5457645.8023
Break and Enter Commercial,2026,1,15,14,45,11XX HARO ST,West End,490733.3329,5459142.496
Break and Enter Commercial,2026,3,22,13,14,11XX HOMER ST,Central Business District,491095.8707,5458117.5181
Break and Enter Commercial,2026,5,14,5,39,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2026,3,12,1,45,11XX HOWE ST,Central Business District,490851.7894,5458444.3488
Break and Enter Commercial,2026,1,23,5,45,11XX JERVIS ST,West End,490237.3427,5458949.2599
Break and Enter Commercial,2026,2,12,4,27,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494115.304,5455524.7121
Break and Enter Commercial,2026,5,5,5,3,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Break and Enter Commercial,2026,5,26,3,23,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Break and Enter Commercial,2026,3,19,4,26,11XX ROBSON ST,West End,490833.2587,5459182.2049
Break and Enter Commercial,2026,3,2,4,51,11XX SEYMOUR ST,Central Business District,490894.3286,5458208.1336
Break and Enter Commercial,2026,2,4,4,25,11XX STATION ST,Strathcona,492837.2067,5458016.8403
Break and Enter Commercial,2026,1,31,2,40,11XX SW MARINE DR,Marpole,490390.818,5450130.1504
Break and Enter Commercial,2026,5,3,16,48,11XX W BROADWAY AVE,Fairview,490486.856,5456749.2271
Break and Enter Commercial,2026,1,9,1,26,11XX W BROADWAY AVE,Fairview,490561.2828,5456747.1562
Break and Enter Commercial,2026,5,16,10,22,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Break and Enter Commercial,2026,5,30,23,30,11XX W GEORGIA ST,Central Business District,490952.0114,5459324.8748
Break and Enter Commercial,2026,2,14,15,43,11XX W GEORGIA ST,Central Business District,490967.3192,5459309.7898
Break and Enter Commercial,2026,5,2,5,29,12XX DAVIE ST,West End,490259.8276,5458839.5461
Break and Enter Commercial,2026,5,11,3,50,12XX DAVIE ST,West End,490259.8276,5458839.5461
Break and Enter Commercial,2026,1,16,2,30,12XX DAVIE ST,West End,490286.0757,5458800.8438
Break and Enter Commercial,2026,3,6,0,0,12XX FRANKLIN ST,Strathcona,494358.4459,5458842.1396
Break and Enter Commercial,2026,3,11,11,0,12XX FRANKLIN ST,Strathcona,494358.4459,5458842.1396
Break and Enter Commercial,2026,1,15,5,31,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2026,3,6,11,25,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2026,4,11,23,0,12XX GRANVILLE ST,Central Business District,490735.5593,5458179.6551
Break and Enter Commercial,2026,4,3,17,28,12XX GRANVILLE ST,Central Business District,490794.8554,5458253.5616
Break and Enter Commercial,2026,4,1,20,31,12XX HARWOOD ST,West End,490127.9093,5458644.5276
Break and Enter Commercial,2026,5,30,13,35,12XX HORNBY ST,Central Business District,490575.9013,5458314.8358
Break and Enter Commercial,2026,5,10,20,20,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494244.7841,5455447.9722
Break and Enter Commercial,2026,5,13,1,24,12XX MAIN ST,Central Business District,492717.348,5457893.4414
Break and Enter Commercial,2026,4,7,17,17,12XX SEYMOUR ST,Central Business District,490868.9128,5458154.6316
Break and Enter Commercial,2026,2,8,11,43,12XX W 11TH AVE,Fairview,490293.5012,5456552.4812
Break and Enter Commercial,2026,2,8,3,24,12XX W 12TH AVE,Fairview,490274.4171,5456452.1616
Break and Enter Commercial,2026,3,25,0,0,12XX W 40TH AVE,Shaughnessy,490335.4284,5453589.7809
Break and Enter Commercial,2026,3,15,14,44,12XX W 71ST AVE,Marpole,490239.5449,5450477.3793
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,21,8,18,OAK ST / W 33RD AVE,Shaughnessy,490695.0,5454303.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,9,14,50,OAK ST / W 33RD AVE,Shaughnessy,490695.0,5454303.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,14,17,30,OAK ST / W 57TH AVE,Marpole,490638.0,5451832.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,2,15,4,OAK ST / W 64TH AVE,Marpole,490524.0,5451140.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,31,18,20,OAK ST / W 67TH AVE,Marpole,490517.0,5450891.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,26,7,43,ONTARIO ST / E 11TH AVE,Mount Pleasant,492361.0,5456493.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,5,16,0,ONTARIO ST / E 22ND AVE,Riley Park,492365.0,5455360.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,12,10,19,ONTARIO ST / E 33RD AVE,Riley Park,492330.0,5454205.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,29,10,11,PACIFIC BLVD / DAVIE ST,Central Business District,491174.0,5457920.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,18,11,15,PACIFIC ST / BURRARD ST,West End,490365.0,5458255.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,24,13,56,PACIFIC ST / CONTINENTAL ST,Central Business District,490551.0,5458082.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,9,10,3,PINE ST / W 4TH AVE,Fairview,489579.0,5457256.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,6,1,17,41,POINT GREY RD / WATERLOO ST,Kitsilano,486936.0,5457680.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,9,17,9,POWELL ST / COMMERCIAL DR,Grandview-Woodland,494883.0,5459014.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,19,15,35,PRICE ST / RUPERT ST,Renfrew-Collingwood,497494.0,5454600.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,28,14,16,PRINCE EDWARD ST / E 46TH AVE,Sunset,492907.0,5452851.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,5,9,6,PRINCE EDWARD ST / E 63RD AVE,Sunset,492871.0,5451187.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,6,6,38,PRINCESS AVE / E HASTINGS ST,Strathcona,493347.0,5458719.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,31,10,15,PRINCESS AVE / PRIOR ST,Strathcona,493331.0,5458212.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,21,15,39,PRIOR ST / MAIN ST,Central Business District,492731.0,5458230.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,27,12,23,QUEBEC ST / E 12TH AVE,Mount Pleasant,492499.0,5456390.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,23,6,7,QUEBEC ST / E 2ND AVE,Mount Pleasant,492527.0,5457382.0
Break and Enter Commercial,2026,5,19,0,32,13XX CLARK DR,Strathcona,494371.0451,5457790.7812
Break and Enter Commercial,2026,1,19,3,23,13XX GRANT ST,Grandview-Woodland,494495.101,5457634.1772
Break and Enter Commercial,2026,1,3,5,10,13XX MARINASIDE CRES,Central Business District,491144.5661,5457678.9672
Break and Enter Commercial,2026,3,24,10,30,13XX POWELL ST,Grandview-Woodland,494406.9577,5458942.3018
Break and Enter Commercial,2026,2,16,3,0,13XX POWELL ST,Grandview-Woodland,494485.038,5458929.6991
Break and Enter Commercial,2026,5,10,6,20,13XX ROBSON ST,West End,490627.24,5459416.1074
Break and Enter Commercial,2026,4,30,3,1,13XX ROBSON ST,West End,490641.3232,5459386.8386
Break and Enter Commercial,2026,3,6,7,0,13XX ROLSTON ST,Central Business District,490745.6479,5458115.1518
Break and Enter Commercial,2026,1,12,17,18,13XX SW MARINE DR,Marpole,490135.3148,5450044.6336
Break and Enter Commercial,2026,4,21,22,0,13XX THE CRESCENT CRES,Shaughnessy,490185.5813,5455980.1828
Break and Enter Commercial,2026,1,4,7,22,13XX VENABLES ST,Grandview-Woodland,494413.3985,5458229.4186
Break and Enter Commercial,2026,4,16,0,46,14XX GRANVILLE ST,Central Business District,490524.4017,5457970.2186
Break and Enter Commercial,2026,3,2,0,30,14XX NANAIMO ST,Hastings-Sunrise,495887.8965,5457645.4993
Break and Enter Commercial,2026,3,23,9,50,14XX NANAIMO ST,Hastings-Sunrise,495887.8965,5457645.4993
Break and Enter Commercial,2026,2,23,1,52,14XX QUEBEC ST,Central Business District,492586.5863,5457740.9297
Break and Enter Commercial,2026,2,22,4,59,14XX W 11TH AVE,Fairview,489936.7822,5456553.4759
Break and Enter Commercial,2026,2,22,4,59,14XX W 11TH AVE,Fairview,489951.0306,5456552.9533
Break and Enter Commercial,2026,3,2,18,8,14XX W BROADWAY AVE,Fairview,490043.381,5456760.6176
Break and Enter Commercial,2026,5,15,7,43,14XX W BROADWAY AVE,Fairview,490070.5756,5456760.0711
Break and Enter Commercial,2026,5,17,16,35,14XX W BROADWAY AVE,Fairview,490070.5756,5456760.0711
Break and Enter Commercial,2026,5,24,17,30,14XX W BROADWAY AVE,Fairview,490070.5756,5456760.0711
Break and Enter Commercial,2026,5,12,7,58,15XX ALBERNI ST,West End,490541.4681,5459655.9538
Break and Enter Commercial,2026,3,23,6,15,15XX E 3RD AVE,Grandview-Woodland,494722.2667,5457226.3394
Break and Enter Commercial,2026,3,18,8,39,15XX POWELL ST,Grandview-Woodland,494636.66,5458946.5124
Break and Enter Commercial,2026,1,17,1,0,15XX RAND AVE,Marpole,489588.2983,5450352.8168
Break and Enter Commercial,2026,5,18,11,24,15XX ROBSON ST,West End,490388.6148,5459608.7001
Break and Enter Commercial,2026,3,18,4,14,15XX ROBSON ST,West End,490393.0509,5459619.4115
Break and Enter Commercial,2026,3,18,7,23,15XX ROBSON ST,West End,490393.0509,5459619.4115
Break and Enter Commercial,2026,5,5,6,9,15XX ROBSON ST,West End,490393.0509,5459619.4115
Break and Enter Commercial,2026,3,13,2,32,15XX ROBSON ST,West End,490422.1791,5459603.3066
Break and Enter Commercial,2026,4,5,11,54,15XX ROBSON ST,West End,490422.1791,5459603.3066
Break and Enter Commercial,2026,3,20,7,25,15XX ROBSON ST,West End,490443.8049,5459568.8529
Break and Enter Commercial,2026,5,4,3,10,15XX ROBSON ST,West End,490451.3549,5459561.3374
Break and Enter Commercial,2026,3,8,1,0,15XX W 6TH AVE,Fairview,489811.9955,5457063.6039
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,4,12,14,VINE ST / W BROADWAY AVE,Kitsilano,488530.0,5456804.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,8,8,24,VIVIAN ST / E 49TH AVE,Victoria-Fraserview,496334.0,5452444.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,13,10,7,W 10TH AVE / CAMBIE ST,Mount Pleasant,491643.0,5456614.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,13,7,41,W 10TH AVE / COURTENAY ST,West Point Grey,485442.0,5456789.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,26,14,0,W 10TH AVE / LAUREL ST,Fairview,490962.0,5456633.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,25,16,43,W 11TH AVE / FIR ST,Fairview,489733.0,5456562.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,15,18,15,W 11TH AVE / FIR ST,Fairview,489733.0,5456562.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,20,6,20,W 12TH AVE / OAK ST,Fairview,490780.0,5456427.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,27,12,15,W 12TH AVE / TRAFALGAR ST,Kitsilano,488010.0,5456504.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,29,19,26,W 16TH AVE / HIGHBURY ST,West Point Grey,486319.0,5456157.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,23,20,50,W 16TH AVE / HIGHBURY ST,West Point Grey,486319.0,5456157.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,30,20,31,W 24TH AVE / BLENHEIM ST,Dunbar-Southlands,487003.0,5455377.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,15,15,15,W 2ND AVE / MACDONALD ST,Kitsilano,487759.0,5457501.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,26,19,45,W 2ND AVE / MANITOBA ST,Mount Pleasant,492243.0,5457396.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,21,10,4,W 33RD AVE / GRANVILLE ST,Shaughnessy,489859.0,5454355.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,24,0,4,W 33RD AVE / OAK ST,Shaughnessy,490695.0,5454303.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,18,10,11,W 33RD AVE / PINE CRES,Shaughnessy,489315.0,5454369.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,29,19,15,W 37TH AVE / CROWN ST,Dunbar-Southlands,485900.0,5454001.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,7,17,55,W 37TH AVE / OAK ST,Shaughnessy,490685.0,5453882.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,26,8,53,W 41ST AVE / ALBERTA ST,Riley Park,491740.0,5453418.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,8,12,13,W 41ST AVE / EAST BLVD,Kerrisdale,488716.0,5453544.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,11,5,28,W 41ST AVE / GRANVILLE ST,Kerrisdale,489835.0,5453516.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,8,12,11,W 41ST AVE / GRANVILLE ST,Kerrisdale,489835.0,5453516.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,15,21,53,W 41ST AVE / OAK ST,Shaughnessy,490676.0,5453477.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,1,13,16,35,W 41ST AVE / WILLOW ST,South Cambie,490981.0,5453460.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,20,10,56,W 42ND AVE / OAK ST,Oakridge,490673.0,5453366.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,1,13,4,W 45TH AVE / OAK ST,Oakridge,490665.0,5453056.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,31,17,36,W 49TH AVE / ADERA ST,Kerrisdale,489545.0,5452702.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,3,7,15,36,W 49TH AVE / GRANVILLE ST,Kerrisdale,489820.0,5452696.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,7,23,15,W 4TH AVE / ALMA ST,West Point Grey,486491.0,5457332.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,5,6,16,19,W 4TH AVE / FIR ST,Fairview,489751.0,5457249.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,2,27,21,20,W 4TH AVE / LARCH ST,Kitsilano,488195.0,5457293.0
Vehicle Collision or Pedestrian Struck (with Injury),2026,4,24,7,58,W 4TH AVE / STEPHENS ST,Kitsilano,487898.0,5457301.0
Break and Enter Commercial,2026,4,25,3,59,16XX W 7TH AVE,Fairview,489690.493,5456953.7026
Break and Enter Commercial,2026,1,19,0,15,17XX ALBERNI ST,West End,490245.3494,5459922.7012
Break and Enter Commercial,2026,3,26,6,18,17XX E 10TH AVE,Kensington-Cedar Cottage,494995.9177,5456512.048
Break and Enter Commercial,2026,2,17,2,0,17XX E 18TH AVE,Kensington-Cedar Cottage,495024.3989,5455731.0072
Break and Enter Commercial,2026,3,8,5,0,17XX E 18TH AVE,Kensington-Cedar Cottage,495024.3989,5455731.0072
Break and Enter Commercial,2026,1,11,11,0,17XX E HASTINGS ST,Grandview-Woodland,494940.3475,5458719.0045
Break and Enter Commercial,2026,1,11,18,5,17XX NELSON ST,West End,490026.1983,5459531.4312
Break and Enter Commercial,2026,3,13,3,20,17XX ONTARIO ST,Mount Pleasant,492393.1391,5457485.3891
Break and Enter Commercial,2026,5,14,4,15,17XX ONTARIO ST,Mount Pleasant,492393.1391,5457485.3891
Break and Enter Commercial,2026,2,13,3,39,17XX PANDORA ST,Grandview-Woodland,494899.8766,5458923.1998
Break and Enter Commercial,2026,1,12,0,40,17XX PENDRELL ST,West End,489793.7635,5459440.362
Break and Enter Commercial,2026,2,27,2,58,17XX PENDRELL ST,West End,489849.2774,5459398.8982
Break and Enter Commercial,2026,4,6,20,39,17XX POWELL ST,Grandview-Woodland,494934.1204,5459032.6415
Break and Enter Commercial,2026,4,26,2,11,17XX QUEBEC ST,Mount Pleasant,492523.5785,5457415.4789
Break and Enter Commercial,2026,5,9,5,8,17XX W 4TH AVE,Fairview,489486.618,5457243.3271
Break and Enter Commercial,2026,5,25,5,35,17XX W BROADWAY AVE,Fairview,489429.7872,5456775.6261
Break and Enter Commercial,2026,3,15,0,0,18XX NELSON ST,West End,489841.7282,5459717.6507
Break and Enter Commercial,2026,4,17,2,0,18XX QUEBEC ST,Mount Pleasant,492531.6815,5457363.1994
Break and Enter Commercial,2026,5,20,9,48,12XX W BROADWAY AVE,Fairview,490307.5215,5456743.4608
Break and Enter Commercial,2026,1,19,2,52,12XX W BROADWAY AVE,Fairview,490326.6692,5456753.3296
Break and Enter Commercial,2026,5,14,13,49,12XX W BROADWAY AVE,Fairview,490364.9676,5456761.5283
Break and Enter Commercial,2026,5,17,5,0,12XX W BROADWAY AVE,Fairview,490364.9676,5456761.5283
Break and Enter Commercial,2026,5,9,16,5,12XX W CORDOVA ST,Central Business District,491016.8463,5459692.2086
Break and Enter Commercial,2026,4,16,3,0,1XX DUNSMUIR ST,Central Business District,491958.3275,5458579.253
Break and Enter Commercial,2026,2,17,11,35,1XX E 2ND AVE,Mount Pleasant,492638.3431,5457374.1172
Break and Enter Commercial,2026,2,14,1,4,1XX E 3RD AVE,Mount Pleasant,492646.9926,5457283.9766
Break and Enter Commercial,2026,2,1,1,50,1XX E 48TH AVE,Sunset,492589.9056,5452653.6531
Break and Enter Commercial,2026,2,6,17,30,1XX E 8TH AVE,Mount Pleasant,492564.8245,5456773.3204
Break and Enter Commercial,2026,2,20,12,0,1XX E BROADWAY AVE,Mount Pleasant,492521.2571,5456698.3698
Break and Enter Commercial,2026,2,24,14,8,1XX E BROADWAY AVE,Mount Pleasant,492610.7541,5456694.6372
Break and Enter Commercial,2026,4,7,18,0,1XX E CORDOVA ST,Central Business District,492569.3686,5458843.9296
Break and Enter Commercial,2026,1,10,2,28,1XX E CORDOVA ST,Central Business District,492623.4698,5458851.1899
Break and Enter Commercial,2026,5,9,16,19,1XX E CORDOVA ST,Central Business District,492638.4782,5458850.6655
Break and Enter Commercial,2026,4,20,10,37,1XX E CORDOVA ST,Central Business District,492649.3398,5458850.2861
Break and Enter Commercial,2026,2,18,16,53,1XX E PENDER ST,Central Business District,492591.6148,5458640.6254
Break and Enter Commercial,2026,4,4,23,47,1XX E PENDER ST,Central Business District,492591.6148,5458640.6254
Break and Enter Commercial,2026,3,26,23,0,1XX E PENDER ST,Central Business District,492598.8799,5458640.3449
Break and Enter Commercial,2026,2,8,9,8,1XX E PENDER ST,Central Business District,492708.3343,5458626.968
Break and Enter Commercial,2026,3,21,23,0,1XX KEEFER PL,Central Business District,492116.1663,5458564.2081
Break and Enter Commercial,2026,4,14,1,40,1XX KEEFER PL,Central Business District,492122.6441,5458572.1096
Break and Enter Commercial,2026,1,7,9,13,1XX KEEFER PL,Central Business District,492123.0015,5458572.0278
Break and Enter Commercial,2026,5,21,5,11,1XX KEEFER PL,Central Business District,492123.7934,5458571.8474
Break and Enter Commercial,2026,4,11,7,25,1XX KEEFER ST,Central Business District,492713.9917,5458535.6838
